internal_id,aum_date,aum,contributions,active_members,deferred_members,created_at
JGQS4,2024-02-29,85094749,6960,4288,8254,2024-03-20 21:10:35.136116
I7GT9,2024-02-29,45340178,6284,6721,4130,2024-03-20 21:10:35.136116
HZFIX,2024-02-29,42992480,5346,1870,650,2024-03-20 21:10:35.136116
SLGZN,2024-02-29,85159144,9091,8697,7198,2024-03-20 21:10:35.136116
SUPXY,2024-02-29,48002316,1773,9187,5713,2024-03-20 21:10:35.136116
R4LPE,2024-02-29,6412694,2677,7068,1907,2024-03-20 21:10:35.136116
3X0ID,2024-02-29,1229762,1257,2976,1299,2024-03-20 21:10:35.136116
M2W8A,2024-02-29,16387134,2282,4045,3224,2024-03-20 21:10:35.136116
XJHAJ,2024-02-29,87912764,9354,9377,7718,2024-03-20 21:10:35.136116
VEHAK,2024-02-29,57089234,1896,7285,3344,2024-03-20 21:10:35.136116
O5XNF,2024-02-29,2890115,8570,9653,727,2024-03-20 21:10:35.136116
81HVS,2024-02-29,96517799,7731,8372,987,2024-03-20 21:10:35.136116
1JAUD,2024-02-29,97614949,9635,103,4018,2024-03-20 21:10:35.136116
0ON8Z,2024-02-29,82934070,2494,1101,7937,2024-03-20 21:10:35.136116
USDVO,2024-02-29,84531392,8997,1850,7584,2024-03-20 21:10:35.136116
TN92T,2024-02-29,90833861,8979,627,9271,2024-03-20 21:10:35.136116
EXDBP,2024-02-29,6280193,5926,4389,2435,2024-03-20 21:10:35.136116
QFY7Y,2024-02-29,10987276,3406,6197,5603,2024-03-20 21:10:35.136116
ZBEQK,2024-02-29,96536388,2237,3316,7694,2024-03-20 21:10:35.136116
YGHJL,2024-02-29,53161553,5548,8820,408,2024-03-20 21:10:35.136116
EJYIM,2024-02-29,72883426,7032,7696,4485,2024-03-20 21:10:35.136116
MOLH9,2024-02-29,6560332,9688,3747,6871,2024-03-20 21:10:35.136116
NLIJI,2024-02-29,74140602,8169,5141,5434,2024-03-20 21:10:35.136116
RNZSU,2024-02-29,7437420,1369,9306,6127,2024-03-20 21:10:35.136116
H45B5,2024-02-29,9027183,3142,6739,1116,2024-03-20 21:10:35.136116
3KWXC,2024-02-29,14515911,5412,5810,1945,2024-03-20 21:10:35.136116
SD8U8,2024-02-29,20768341,8848,1046,3957,2024-03-20 21:10:35.136116
GNVNO,2024-02-29,42244573,8544,6990,1501,2024-03-20 21:10:35.136116
BDZ2K,2024-02-29,24131026,6134,6007,8565,2024-03-20 21:10:35.136116
N7CE9,2024-02-29,79737470,5613,6074,985,2024-03-20 21:10:35.136116
XQWMN,2024-02-29,82429315,7981,6060,9850,2024-03-20 21:10:35.136116
EL6FI,2024-02-29,76847473,6629,9018,6711,2024-03-20 21:10:35.136116
BS7CY,2024-02-29,54928344,7473,4383,5196,2024-03-20 21:10:35.136116
0LNIT,2024-02-29,40212983,1425,8441,9685,2024-03-20 21:10:35.136116
B34QA,2024-02-29,85156344,5794,7440,2253,2024-03-20 21:10:35.136116
J6D89,2024-02-29,20178100,3523,2128,7496,2024-03-20 21:10:35.136116
MPPYS,2024-02-29,53282559,8941,7029,8095,2024-03-20 21:10:35.136116
CORPT,2024-02-29,14490535,5668,4941,8928,2024-03-20 21:10:35.136116
ODEHH,2024-02-29,29954627,7094,8282,5730,2024-03-20 21:10:35.136116
KBMVZ,2024-02-29,81266117,8934,167,3014,2024-03-20 21:10:35.136116
L8KBK,2024-02-29,50461744,4636,7997,9059,2024-03-20 21:10:35.136116
52VVU,2024-02-29,9920353,4142,4499,6576,2024-03-20 21:10:35.136116
7RGTO,2024-02-29,351746,4551,2887,9482,2024-03-20 21:10:35.136116
GW5DS,2024-02-29,3736947,2810,2250,668,2024-03-20 21:10:35.136116
IRFSW,2024-02-29,14472195,9278,10,8775,2024-03-20 21:10:35.136116
GT6P7,2024-02-29,92485148,4702,2487,7464,2024-03-20 21:10:35.136116
4ALNE,2024-02-29,29557548,4064,4336,165,2024-03-20 21:10:35.136116
ZIBTC,2024-02-29,22034252,6131,8583,1497,2024-03-20 21:10:35.136116
QQ7IW,2024-02-29,6002201,6924,949,5106,2024-03-20 21:10:35.136116
CI718,2024-02-29,42009942,4501,3913,8410,2024-03-20 21:10:35.136116
TO2ZE,2024-02-29,87593277,1925,9973,9797,2024-03-20 21:10:35.136116
9KSQY,2024-02-29,81469671,2376,8781,8337,2024-03-20 21:10:35.136116
PMOZM,2024-02-29,6691490,9812,5794,1927,2024-03-20 21:10:35.136116
LYU9H,2024-02-29,46514562,4737,9752,8595,2024-03-20 21:10:35.136116
CPHQF,2024-02-29,48682007,6005,3411,4029,2024-03-20 21:10:35.136116
KUU8N,2024-02-29,16471529,5274,5645,1276,2024-03-20 21:10:35.136116
N1HHW,2024-02-29,43232992,4209,6505,6480,2024-03-20 21:10:35.136116
EFTLV,2024-02-29,92426711,9534,7862,4274,2024-03-20 21:10:35.136116
D0QMK,2024-02-29,10016832,3168,3863,8504,2024-03-20 21:10:35.136116
WLBTD,2024-02-29,27315477,7438,798,7075,2024-03-20 21:10:35.136116
4AUUX,2024-02-29,69977941,8103,6701,3809,2024-03-20 21:10:35.136116
EW0XB,2024-02-29,36771220,3384,1036,8766,2024-03-20 21:10:35.136116
WB1CR,2024-02-29,59426716,1112,8517,2071,2024-03-20 21:10:35.136116
O3BYK,2024-02-29,90123185,2993,5963,4716,2024-03-20 21:10:35.136116
9OQWI,2024-02-29,41052505,4537,9535,4663,2024-03-20 21:10:35.136116
KGRKT,2024-02-29,43556090,7440,4782,3864,2024-03-20 21:10:35.136116
ZIUBV,2024-02-29,98043943,2153,9569,9205,2024-03-20 21:10:35.136116
IW7AP,2024-02-29,90212246,8151,2138,621,2024-03-20 21:10:35.136116
UESJQ,2024-02-29,12961999,6465,1023,6747,2024-03-20 21:10:35.136116
MHMXR,2024-02-29,50739609,7718,4366,3478,2024-03-20 21:10:35.136116
VGXML,2024-02-29,49033765,4088,25,7996,2024-03-20 21:10:35.136116
NMUDR,2024-02-29,48755993,7246,3699,4750,2024-03-20 21:10:35.136116
XUIXW,2024-02-29,37816673,8141,7474,5796,2024-03-20 21:10:35.136116
6HDCX,2024-02-29,54459116,7586,6397,8968,2024-03-20 21:10:35.136116
XVMXD,2024-02-29,18648598,3295,2039,5744,2024-03-20 21:10:35.136116
KQJ0Z,2024-02-29,59724174,3820,8963,478,2024-03-20 21:10:35.136116
SH9UT,2024-02-29,65562020,8490,803,299,2024-03-20 21:10:35.136116
ZWHUH,2024-02-29,71966521,5417,4348,9644,2024-03-20 21:10:35.136116
TWH5I,2024-02-29,41501717,3902,9092,4774,2024-03-20 21:10:35.136116
E9FNM,2024-02-29,18525863,4996,7746,200,2024-03-20 21:10:35.136116
JKVSS,2024-02-29,18166843,7598,9888,5934,2024-03-20 21:10:35.136116
WQLWH,2024-02-29,17158995,6856,4839,4334,2024-03-20 21:10:35.136116
EZWNM,2024-02-29,52589825,4372,5782,637,2024-03-20 21:10:35.136116
DK3K1,2024-02-29,6350000,1502,5314,5493,2024-03-20 21:10:35.136116
LMGTE,2024-02-29,99709425,7150,9798,4112,2024-03-20 21:10:35.136116
2OWKF,2024-02-29,65743169,9523,1327,3323,2024-03-20 21:10:35.136116
PUVMR,2024-02-29,49889575,5846,6592,8790,2024-03-20 21:10:35.136116
XBQ1D,2024-02-29,97927505,6688,8222,2705,2024-03-20 21:10:35.136116
I4GKT,2024-02-29,7787113,8043,1641,9769,2024-03-20 21:10:35.136116
MEVP0,2024-02-29,74129778,2597,9432,6489,2024-03-20 21:10:35.136116
GHCIJ,2024-02-29,46534038,7428,3341,6215,2024-03-20 21:10:35.136116
SPER9,2024-02-29,4790410,4444,4950,7243,2024-03-20 21:10:35.136116
YJSLT,2024-02-29,15534001,8879,9010,3058,2024-03-20 21:10:35.136116
XPKYR,2024-02-29,20782056,5091,5878,1097,2024-03-20 21:10:35.136116
XYRPP,2024-02-29,69123054,2757,4082,5344,2024-03-20 21:10:35.136116
L8WHO,2024-02-29,42311883,5771,755,7132,2024-03-20 21:10:35.136116
MRMZJ,2024-02-29,35530396,2799,9134,8994,2024-03-20 21:10:35.136116
PNHQS,2024-02-29,25964311,6194,5841,3341,2024-03-20 21:10:35.136116
WBXBQ,2024-02-29,72192004,6435,4874,4785,2024-03-20 21:10:35.136116
1RPWM,2024-02-29,23825152,8761,6957,4936,2024-03-20 21:10:35.136116
DZYLB,2024-02-29,5183078,8739,6400,6177,2024-03-20 21:10:35.136116
Z6RLQ,2024-02-29,14197886,2627,6738,3322,2024-03-20 21:10:35.136116
SEYJB,2024-02-29,29865887,1106,8761,1880,2024-03-20 21:10:35.136116
YMBSN,2024-02-29,44431648,2474,6536,631,2024-03-20 21:10:35.136116
JQC5I,2024-02-29,70904794,2307,9523,299,2024-03-20 21:10:35.136116
RZKWO,2024-02-29,38113382,3453,3452,534,2024-03-20 21:10:35.136116
NDZKI,2024-02-29,94282334,2313,7379,6314,2024-03-20 21:10:35.136116
LUIJI,2024-02-29,24145602,5538,3098,3430,2024-03-20 21:10:35.136116
KS2VO,2024-02-29,56638915,2681,3380,8185,2024-03-20 21:10:35.136116
KPVK3,2024-02-29,73187740,4682,2775,1398,2024-03-20 21:10:35.136116
UYLHX,2024-02-29,20713578,3187,7675,6483,2024-03-20 21:10:35.136116
YAURK,2024-02-29,61417175,1560,1818,3499,2024-03-20 21:10:35.136116
V0CZM,2024-02-29,66713451,8563,8781,6491,2024-03-20 21:10:35.136116
6C3EV,2024-02-29,91319770,1242,3934,7580,2024-03-20 21:10:35.136116
XB9SH,2024-02-29,67679277,4588,1600,8101,2024-03-20 21:10:35.136116
ADKLM,2024-02-29,21582792,2278,6347,1328,2024-03-20 21:10:35.136116
JUJJ8,2024-02-29,19285317,5076,2518,3016,2024-03-20 21:10:35.136116
EQ1FK,2024-02-29,90807578,5591,4955,1738,2024-03-20 21:10:35.136116
LY6B9,2024-02-29,99294748,8637,374,6243,2024-03-20 21:10:35.136116
KVHG3,2024-02-29,50615684,7594,2194,7727,2024-03-20 21:10:35.136116
V0QYW,2024-02-29,28638531,2449,4563,1157,2024-03-20 21:10:35.136116
FK70I,2024-02-29,8338477,2774,1916,6612,2024-03-20 21:10:35.136116
RMY81,2024-02-29,79789221,6988,2969,4525,2024-03-20 21:10:35.136116
ELSBE,2024-02-29,42669260,8326,1087,9245,2024-03-20 21:10:35.136116
CX3SX,2024-02-29,32412358,8460,6099,891,2024-03-20 21:10:35.136116
LDYW3,2024-02-29,28490671,7645,2261,9260,2024-03-20 21:10:35.136116
V8QCS,2024-02-29,44576001,3379,375,5966,2024-03-20 21:10:35.136116
OUPJQ,2024-02-29,62117394,9448,7100,5902,2024-03-20 21:10:35.136116
KREGA,2024-02-29,1310262,5034,680,7595,2024-03-20 21:10:35.136116
RPO1W,2024-02-29,93269009,3450,7796,4704,2024-03-20 21:10:35.136116
IWAFB,2024-02-29,5253091,5981,2540,6028,2024-03-20 21:10:35.136116
QBJYP,2024-02-29,90412661,8402,9713,77,2024-03-20 21:10:35.136116
FDAVI,2024-02-29,4515078,3692,3837,3336,2024-03-20 21:10:35.136116
FIO5W,2024-02-29,57363899,5567,8759,3906,2024-03-20 21:10:35.136116
UMYV8,2024-02-29,85240655,8396,4133,5486,2024-03-20 21:10:35.136116
EVNKH,2024-02-29,58650277,9265,4590,9115,2024-03-20 21:10:35.136116
E2PMJ,2024-02-29,27303371,5465,3935,9777,2024-03-20 21:10:35.136116
J3YKB,2024-02-29,60170834,3111,1177,3995,2024-03-20 21:10:35.136116
O1XXQ,2024-02-29,30778962,9609,2774,9142,2024-03-20 21:10:35.136116
UAAAV,2024-02-29,33540902,6468,2823,8931,2024-03-20 21:10:35.136116
MJEBP,2024-02-29,80915901,3052,2174,6050,2024-03-20 21:10:35.136116
FDWFF,2024-02-29,48876285,5323,685,6280,2024-03-20 21:10:35.136116
9CRCA,2024-02-29,76473070,8639,2189,9234,2024-03-20 21:10:35.136116
IOKOW,2024-02-29,75480544,1363,6184,7594,2024-03-20 21:10:35.136116
XSHWW,2024-02-29,41935730,5558,7671,3117,2024-03-20 21:10:35.136116
04WPR,2024-02-29,24034636,8204,9394,3838,2024-03-20 21:10:35.136116
OWEJT,2024-02-29,52755212,5203,7701,6591,2024-03-20 21:10:35.136116
IY1VO,2024-02-29,17795086,6437,4653,6306,2024-03-20 21:10:35.136116
KE5DQ,2024-02-29,9732937,9830,6283,6782,2024-03-20 21:10:35.136116
OXLXA,2024-02-29,62488779,1121,8428,3037,2024-03-20 21:10:35.136116
758AT,2024-02-29,49354910,8972,5985,1301,2024-03-20 21:10:35.136116
9BSTR,2024-02-29,7088893,8576,3641,9643,2024-03-20 21:10:35.136116
JAFJR,2024-02-29,65330681,5496,8669,9942,2024-03-20 21:10:35.136116
5IGGJ,2024-02-29,98167822,9609,6964,6610,2024-03-20 21:10:35.136116
S0TQF,2024-02-29,45527308,2929,732,4854,2024-03-20 21:10:35.136116
RE6HI,2024-02-29,65661112,6725,153,676,2024-03-20 21:10:35.136116
TWGFU,2024-02-29,23478511,3532,1789,6689,2024-03-20 21:10:35.136116
SG3XC,2024-02-29,50724557,3189,7317,7998,2024-03-20 21:10:35.136116
SPU6S,2024-02-29,5671011,2573,7810,1039,2024-03-20 21:10:35.136116
ODT5A,2024-02-29,21442937,8034,2784,7490,2024-03-20 21:10:35.136116
W5HFS,2024-02-29,19853744,9547,4412,2831,2024-03-20 21:10:35.136116
DENOU,2024-02-29,79169328,3887,2121,5039,2024-03-20 21:10:35.136116
KKCVR,2024-02-29,99297341,2512,3,2767,2024-03-20 21:10:35.136116
CHIRG,2024-02-29,3834885,8413,1200,7887,2024-03-20 21:10:35.136116
3IMYJ,2024-02-29,45958709,2558,930,358,2024-03-20 21:10:35.136116
7CDKT,2024-02-29,97937457,9298,6383,538,2024-03-20 21:10:35.136116
QYQV5,2024-02-29,5759245,4793,837,6498,2024-03-20 21:10:35.136116
V4XLM,2024-02-29,31475603,7966,1674,1325,2024-03-20 21:10:35.136116
NTRIG,2024-02-29,20992801,6324,4481,9173,2024-03-20 21:10:35.136116
UBHEA,2024-02-29,56965094,7908,1649,8735,2024-03-20 21:10:35.136116
XKGUU,2024-02-29,23208543,5598,3334,9249,2024-03-20 21:10:35.136116
MJISX,2024-02-29,51433779,4605,4845,1750,2024-03-20 21:10:35.136116
SPNZV,2024-02-29,11336847,6046,3173,7131,2024-03-20 21:10:35.136116
RVWYX,2024-02-29,69088446,6975,7389,4750,2024-03-20 21:10:35.136116
K1PNH,2024-02-29,50778662,8771,9253,688,2024-03-20 21:10:35.136116
CB2C3,2024-02-29,38705232,8391,5951,285,2024-03-20 21:10:35.136116
XXXNU,2024-02-29,96570978,8476,937,1719,2024-03-20 21:10:35.136116
94ONH,2024-02-29,63997879,8443,8433,7929,2024-03-20 21:10:35.136116
